colony,date,forager_color
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,blue
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/28/2014,red
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,blue
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,1/31/2014,red
1,2/4/2014,blue
1,2/4/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,blue
1,2/12/2014,red
1,2/12/2014,red
1,2/12/2014,red
1,2/12/2014,red
